GEO,Products,VECTOR
Canada,"Beef stewing cuts, per kilogram",v1353834271
Canada,"Beef striploin cuts, per kilogram",v1353834272
Canada,"Beef top sirloin cuts, per kilogram",v1353834273
Canada,"Beef rib cuts, per kilogram",v1353834311
Canada,"Ground beef, per kilogram",v1353834274
Canada,"Pork loin cuts, per kilogram",v1353834275
Canada,"Pork rib cuts, per kilogram",v1353834276
Canada,"Pork shoulder cuts, per kilogram",v1353834312
Canada,"Whole chicken, per kilogram",v1353834277
Canada,"Chicken breasts, per kilogram",v1353834278
Canada,"Chicken thigh, per kilogram",v1353834279
Canada,"Chicken drumsticks, per kilogram",v1353834313
Canada,"Bacon, 500 grams",v1353834280
Canada,"Wieners, 400 grams",v1353834281
Canada,"Salmon, per kilogram",v1458869929
Canada,"Shrimp, 300 grams",v1458869931
Canada,"Canned salmon, 213 grams",v1353834314
Canada,"Canned tuna, 170 grams",v1353834282
Canada,"Meatless burgers, 226 grams",v1458869922
Canada,"Milk, 1 litre",v1353834283
Canada,"Milk, 2 litres",v1353834284
Canada,"Milk, 4 litres",v1353834285
Canada,"Soy milk, 1.89 litres",v1458869932
Canada,"Nut milk, 1.89 litres",v1458869923
Canada,"Cream, 1 litre",v1353834286
Canada,"Butter, 454 grams",v1353834287
Canada,"Margarine, 907 grams",v1458869921
Canada,"Block cheese, 500 grams",v1353834288
Canada,"Yogurt, 500 grams",v1353834289
Canada,"Eggs, 1 dozen",v1353834290
Canada,"Apples, per kilogram",v1353834291
Canada,"Oranges, per kilogram",v1353834292
Canada,"Oranges, 1.36 kilograms",v1353834293
Canada,"Bananas, per kilogram",v1353834294
Canada,"Pears, per kilogram",v1353834295
Canada,"Lemons, unit",v1353834296
Canada,"Limes, unit",v1353834315
Canada,"Grapes, per kilogram",v1353834297
Canada,"Cantaloupe, unit",v1353834298
Canada,"Strawberries, 454 grams",v1458869934
Canada,"Avocado, unit",v1353834299
Canada,"Potatoes, 4.54 kilograms",v1353834300
Canada,"Potatoes, per kilogram",v1353834316
Canada,"Sweet potatoes, per kilogram",v1353834317
Canada,"Tomatoes, per kilogram",v1353834301
Canada,"Cabbage, per kilogram",v1353834302
Canada,"Carrots, 1.36 kilograms",v1353834303
Canada,"Onions, per kilogram",v1353834304
Canada,"Onions, 1.36 kilograms",v1353834305
Canada,"Celery, unit",v1353834306
Canada,"Cucumber, unit",v1353834307
Canada,"Mushrooms, 227 grams",v1353834308
Canada,"Iceberg lettuce, unit",v1353834318
Canada,"Romaine lettuce, unit",v1353834319
Canada,"Broccoli, unit",v1353834309
Canada,"Peppers, per kilogram",v1353834310
Canada,"Squash, per kilogram",v1458869933
Canada,"Salad greens, 142 grams",v1458869928
Canada,"Frozen french fried potatoes, 750 grams",v1353834320
Canada,"Frozen green beans, 750 grams",v1353834321
Canada,"Frozen broccoli, 500 grams",v1353834322
Canada,"Frozen corn, 750 grams ",v1353834323
Canada,"Frozen mixed vegetables, 750 grams ",v1353834324
Canada,"Frozen peas, 750 grams",v1353834325
Canada,"Frozen pizza, 390 grams",v1458869915
Canada,"Frozen spinach, 300 grams",v1458869916
Canada,"Frozen strawberries, 600 grams",v1458869917
Canada,"White bread, 675 grams",v1353834326
Canada,"Flatbread and pita, 500 grams ",v1458869914
Canada,"Crackers and crisp breads, 200 grams ",v1458869912
Canada,"Cookies and sweet biscuits, 300 grams ",v1458869911
Canada,"Dry or fresh pasta, 500 grams",v1353834327
Canada,"Brown rice, 900 grams ",v1458869906
Canada,"White rice, 2 kilograms",v1458869937
Canada,"Cereal, 400 grams",v1353834328
Canada,"Wheat flour, 2.5 kilograms",v1353834329
Canada,"White sugar, 2 kilograms",v1353834330
Canada,"Apple juice, 2 litres",v1353834331
Canada,"Orange juice, 2 litres",v1353834332
Canada,"Roasted or ground coffee, 340 grams",v1353834333
Canada,Tea (20 bags),v1353834334
Canada,"Ketchup, 1 litre",v1353834335
Canada,"Vegetable oil, 3 litres",v1353834336
Canada,"Canola oil, 3 litres",v1458869910
Canada,"Olive oil, 1 litre",v1458869924
Canada,"Baby food, 128 millilitres",v1353834337
Canada,"Infant formula, 900 grams ",v1458869919
Canada,"Peanut butter, 1 kilogram",v1353834338
Canada,"Mayonnaise, 890 millilitres ",v1353834339
Canada,"Canned baked beans, 398 millilitres",v1353834340
Canada,"Canned tomatoes, 796 millilitres",v1353834341
Canada,"Canned soup, 284 millilitres",v1353834342
Canada,"Canned beans and lentils, 540 millilitres",v1353834343
Canada,"Canned corn, 341 millilitres",v1458869907
Canada,"Canned peach, 398 millilitres",v1458869908
Canada,"Canned pear, 398 millilitres",v1458869909
Canada,"Dried lentils, 900 grams",v1353834344
Canada,"Dry beans and legumes, 900 grams ",v1458869913
Canada,"Tofu, 350 grams ",v1458869936
Canada,"Hummus, 227 grams",v1458869918
Canada,"Salsa, 418 millilitres",v1458869930
Canada,"Pasta sauce, 650 millilitres",v1458869925
Canada,"Salad dressing, 475 millilitres",v1458869927
Canada,"Almonds, 200 grams",v1458869905
Canada,"Peanuts, 450 grams",v1458869926
Canada,"Sunflower seeds, 400 grams ",v1458869935
Canada,"Deodorant, 85 grams",v1353834345
Canada,"Toothpaste, 100 millilitres",v1353834346
Canada,"Shampoo, 400 millilitres",v1353834347
Canada,"Laundry detergent, 4.43 litres",v1458869920
Newfoundland and Labrador,"Beef stewing cuts, per kilogram",v1159446976
Newfoundland and Labrador,"Beef striploin cuts, per kilogram",v1159446977
Newfoundland and Labrador,"Beef top sirloin cuts, per kilogram",v1159446978
Newfoundland and Labrador,"Beef rib cuts, per kilogram",v1353834348
Newfoundland and Labrador,"Ground beef, per kilogram",v1159446979
Newfoundland and Labrador,"Pork loin cuts, per kilogram",v1159446980
Newfoundland and Labrador,"Pork rib cuts, per kilogram",v1159446981
Newfoundland and Labrador,"Pork shoulder cuts, per kilogram",v1353834349
Newfoundland and Labrador,"Whole chicken, per kilogram",v1159446982
Newfoundland and Labrador,"Chicken breasts, per kilogram",v1159446983
Newfoundland and Labrador,"Chicken thigh, per kilogram",v1159446984
